pair_id,feature_code,strength,prompt_idx,left_item_id,right_item_id,left_overall_quality,right_overall_quality,left_fluency_composite,right_fluency_composite,left_target_success,right_target_success,overall_preference,fluency_preference,concept_preference,derivation
P0059,F10,1.5,12,A0272,A0363,3,1,3.5,1.0,5,5,left,left,tie,mechanical_from_blind_item_scores
P0060,F02,1.0,7,A0065,A0288,2,2,3.0,3.0,2,1,tie,tie,left,mechanical_from_blind_item_scores
P0061,F04,0.5,21,A0391,A0322,3,3,5.0,5.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0062,F05,2.5,28,A0150,A0237,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0063,F01,1.25,19,A0435,A0410,3,2,3.0,3.0,5,4,left,tie,left,mechanical_from_blind_item_scores
P0064,F08,0.5,16,A0195,A0212,4,3,4.5,5.0,4,1,left,right,left,mechanical_from_blind_item_scores
P0065,F08,3.0,28,A0064,A0019,1,1,1.0,1.0,5,1,tie,tie,left,mechanical_from_blind_item_scores
P0066,F09,2.0,8,A0083,A0062,1,2,2.0,2.0,2,4,right,tie,right,mechanical_from_blind_item_scores
P0067,F08,1.0,19,A0273,A0095,4,3,4.5,4.0,4,1,left,left,left,mechanical_from_blind_item_scores
P0068,F02,2.5,29,A0177,A0014,1,1,2.0,1.5,2,1,tie,left,left,mechanical_from_blind_item_scores
P0069,F02,3.0,3,A0262,A0142,1,1,1.0,1.0,2,1,tie,tie,left,mechanical_from_blind_item_scores
P0070,F03,1.5,20,A0367,A0295,4,3,4.5,4.0,4,5,left,left,right,mechanical_from_blind_item_scores
P0071,F09,3.0,7,A0298,A0450,1,1,2.0,1.0,2,3,tie,left,right,mechanical_from_blind_item_scores
P0072,F01,1.25,6,A0099,A0318,2,2,3.0,1.5,4,5,tie,left,right,mechanical_from_blind_item_scores
P0073,F01,3.0,2,A0439,A0444,1,2,1.0,2.0,5,5,right,right,tie,mechanical_from_blind_item_scores
P0074,F03,0.5,4,A0149,A0189,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0075,F10,1.0,6,A0163,A0303,3,3,3.0,3.0,5,5,tie,tie,tie,mechanical_from_blind_item_scores
P0076,F10,0.0,27,A0453,A0247,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0077,F05,1.25,25,A0217,A0236,1,1,1.0,1.0,5,4,tie,tie,left,mechanical_from_blind_item_scores
P0078,F09,0.5,0,A0412,A0076,4,4,4.5,4.5,5,3,tie,tie,left,mechanical_from_blind_item_scores
P0079,F11,2.0,23,A0274,A0239,1,1,2.5,1.0,2,5,tie,left,right,mechanical_from_blind_item_scores
P0080,F12,1.25,8,A0109,A0043,2,1,2.0,1.0,1,1,left,left,tie,mechanical_from_blind_item_scores
P0081,F01,1.0,28,A0224,A0301,4,3,3.5,3.5,5,4,left,tie,left,mechanical_from_blind_item_scores
P0082,F08,1.5,19,A0419,A0338,2,3,2.0,3.5,5,5,right,right,tie,mechanical_from_blind_item_scores
P0083,F05,3.0,16,A0045,A0105,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0084,F09,1.0,14,A0269,A0309,2,3,3.0,4.0,3,3,right,right,tie,mechanical_from_blind_item_scores
P0085,F04,1.0,27,A0404,A0432,3,4,4.5,4.0,1,5,right,left,right,mechanical_from_blind_item_scores
P0086,F11,0.5,14,A0452,A0231,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0087,F04,1.25,25,A0406,A0184,3,3,3.0,4.0,2,1,tie,right,left,mechanical_from_blind_item_scores
P0088,F03,1.5,28,A0234,A0193,3,4,3.0,4.5,5,5,right,right,tie,mechanical_from_blind_item_scores
P0089,F01,1.5,29,A0401,A0299,2,2,1.0,2.5,5,4,tie,right,left,mechanical_from_blind_item_scores
P0090,F11,2.5,15,A0279,A0254,2,1,2.5,1.0,2,5,left,left,right,mechanical_from_blind_item_scores
P0091,F05,0.5,9,A0448,A0427,3,3,4.5,3.5,1,5,tie,left,right,mechanical_from_blind_item_scores
P0092,F07,0.0,29,A0394,A0007,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0093,F09,0.5,29,A0422,A0336,3,3,5.0,4.5,1,1,tie,left,tie,mechanical_from_blind_item_scores
P0094,F07,2.5,3,A0413,A0091,1,3,1.0,2.5,5,5,right,right,tie,mechanical_from_blind_item_scores
P0095,F04,1.5,2,A0001,A0013,3,2,3.0,2.0,5,4,left,left,left,mechanical_from_blind_item_scores
P0096,F08,1.25,7,A0146,A0124,1,3,1.0,3.0,5,5,right,right,tie,mechanical_from_blind_item_scores
P0097,F09,1.0,27,A0280,A0207,3,4,3.5,4.0,2,5,right,right,right,mechanical_from_blind_item_scores
P0098,F03,3.0,21,A0426,A0383,3,2,3.0,2.0,5,4,left,left,left,mechanical_from_blind_item_scores
P0099,F09,2.0,12,A0357,A0134,2,2,2.0,2.5,5,2,tie,right,left,mechanical_from_blind_item_scores
P0100,F02,1.25,1,A0464,A0242,2,2,3.0,2.5,1,1,tie,left,tie,mechanical_from_blind_item_scores
P0101,F09,1.25,4,A0067,A0381,3,4,4.0,4.0,1,5,right,tie,right,mechanical_from_blind_item_scores
P0102,F12,1.5,16,A0073,A0276,2,1,2.0,1.0,1,1,left,left,tie,mechanical_from_blind_item_scores
P0103,F05,1.0,4,A0278,A0220,1,1,1.0,1.5,4,4,tie,right,tie,mechanical_from_blind_item_scores
P0104,F02,2.0,2,A0218,A0429,1,1,1.5,1.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0105,F08,2.5,0,A0077,A0037,1,1,1.0,1.0,5,5,tie,tie,tie,mechanical_from_blind_item_scores
P0106,F07,1.5,12,A0466,A0209,3,1,3.5,1.0,5,5,left,left,tie,mechanical_from_blind_item_scores
P0107,F03,0.0,26,A0025,A0442,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0108,F08,1.5,29,A0215,A0416,1,3,1.0,4.0,5,4,right,right,left,mechanical_from_blind_item_scores
P0109,F03,0.5,3,A0101,A0258,4,4,4.5,4.5,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0110,F07,0.5,22,A0058,A0107,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0111,F04,1.25,20,A0154,A0123,3,3,3.5,3.0,2,5,tie,left,right,mechanical_from_blind_item_scores
P0112,F04,3.0,25,A0265,A0346,1,1,1.0,1.0,5,1,tie,tie,left,mechanical_from_blind_item_scores
P0113,F02,0.0,16,A0347,A0008,3,3,5.0,5.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0114,F02,1.5,15,A0041,A0445,3,3,3.5,3.5,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0115,F06,3.0,19,A0153,A0202,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0116,F05,1.5,9,A0155,A0315,1,1,1.0,1.0,5,4,tie,tie,left,mechanical_from_blind_item_scores
P0117,F02,0.5,6,A0069,A0110,3,4,4.5,4.5,1,4,right,tie,right,mechanical_from_blind_item_scores
P0118,F09,3.0,16,A0399,A0021,1,2,2.0,2.0,2,5,right,tie,right,mechanical_from_blind_item_scores
P0119,F11,0.0,9,A0350,A0248,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0120,F06,2.5,11,A0111,A0044,1,1,1.0,1.0,3,1,tie,tie,left,mechanical_from_blind_item_scores
P0121,F10,2.5,24,A0034,A0159,2,1,2.5,1.0,1,5,left,left,right,mechanical_from_blind_item_scores
P0122,F11,0.5,13,A0327,A0053,4,3,4.5,4.5,5,2,left,tie,left,mechanical_from_blind_item_scores
P0123,F04,1.0,18,A0140,A0459,3,2,4.0,4.5,4,1,left,right,left,mechanical_from_blind_item_scores
P0124,F10,2.5,18,A0081,A0441,1,1,1.5,1.0,4,5,tie,left,right,mechanical_from_blind_item_scores
P0125,F01,2.5,7,A0456,A0005,2,1,2.5,1.0,4,5,left,left,right,mechanical_from_blind_item_scores
P0126,F07,1.25,6,A0352,A0006,2,1,2.0,2.0,5,1,left,tie,left,mechanical_from_blind_item_scores
P0127,F08,2.0,22,A0337,A0408,1,1,1.0,1.0,5,2,tie,tie,left,mechanical_from_blind_item_scores
P0128,F07,2.0,15,A0417,A0093,1,1,1.0,1.0,4,5,tie,tie,right,mechanical_from_blind_item_scores
P0129,F10,1.25,13,A0260,A0433,1,1,1.0,1.5,5,5,tie,right,tie,mechanical_from_blind_item_scores
P0130,F04,3.0,7,A0371,A0022,1,1,1.0,1.0,2,4,tie,tie,right,mechanical_from_blind_item_scores
P0131,F08,3.0,18,A0075,A0219,1,1,1.0,1.0,1,5,tie,tie,right,mechanical_from_blind_item_scores
P0132,F11,1.0,5,A0415,A0385,4,3,4.0,4.0,5,3,left,tie,left,mechanical_from_blind_item_scores
P0133,F05,1.25,29,A0263,A0424,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0134,F11,3.0,27,A0136,A0418,1,2,1.0,2.5,5,2,right,right,left,mechanical_from_blind_item_scores
P0135,F09,2.5,8,A0063,A0356,1,1,2.0,1.0,2,4,tie,left,right,mechanical_from_blind_item_scores
P0136,F02,0.5,24,A0120,A0240,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0137,F05,2.0,26,A0349,A0361,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0138,F01,2.0,27,A0388,A0223,1,1,1.0,2.0,5,4,tie,right,left,mechanical_from_blind_item_scores
P0139,F03,2.5,26,A0185,A0040,2,3,2.5,3.5,3,5,right,right,right,mechanical_from_blind_item_scores
P0140,F11,1.5,23,A0430,A0226,3,2,3.5,3.0,5,2,left,left,left,mechanical_from_blind_item_scores
P0141,F04,2.5,10,A0287,A0090,1,1,1.0,1.0,1,5,tie,tie,right,mechanical_from_blind_item_scores
P0142,F01,0.0,28,A0264,A0286,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0143,F08,0.0,19,A0135,A0216,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0144,F09,1.5,4,A0141,A0104,3,2,3.0,3.0,5,2,left,tie,left,mechanical_from_blind_item_scores
P0145,F03,2.0,15,A0384,A0204,3,3,4.0,3.5,5,4,tie,left,left,mechanical_from_blind_item_scores
P0146,F12,0.5,15,A0302,A0117,3,3,5.0,3.5,1,1,tie,left,tie,mechanical_from_blind_item_scores
P0147,F01,0.5,16,A0283,A0293,4,4,4.0,3.5,5,5,tie,left,tie,mechanical_from_blind_item_scores
P0148,F02,1.5,21,A0243,A0250,2,3,2.5,2.5,2,4,right,tie,right,mechanical_from_blind_item_scores
P0149,F06,1.25,7,A0314,A0125,2,3,2.5,3.5,3,5,right,right,right,mechanical_from_blind_item_scores
P0150,F10,3.0,26,A0268,A0059,1,1,1.0,1.5,5,4,tie,right,left,mechanical_from_blind_item_scores
P0151,F04,1.5,20,A0306,A0018,2,2,1.5,3.0,5,1,tie,right,left,mechanical_from_blind_item_scores
P0152,F06,1.0,22,A0088,A0256,3,2,4.0,3.0,5,4,left,left,left,mechanical_from_blind_item_scores
P0153,F04,0.5,5,A0060,A0049,3,3,4.5,5.0,1,1,tie,right,tie,mechanical_from_blind_item_scores
P0154,F10,2.0,24,A0364,A0252,2,1,3.0,1.0,4,5,left,left,right,mechanical_from_blind_item_scores
P0155,F06,2.0,9,A0175,A0186,1,1,1.0,1.0,2,5,tie,tie,right,mechanical_from_blind_item_scores
P0156,F12,2.0,20,A0411,A0029,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0157,F07,0.5,20,A0194,A0241,3,3,4.5,4.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0158,F05,2.0,29,A0377,A0178,1,1,1.0,1.0,4,4,tie,tie,tie,mechanical_from_blind_item_scores
P0159,F10,3.0,18,A0192,A0196,1,1,1.0,1.5,5,2,tie,right,left,mechanical_from_blind_item_scores
P0160,F02,2.0,16,A0257,A0015,2,2,2.5,2.5,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0161,F01,3.0,11,A0330,A0460,1,1,1.0,1.5,5,4,tie,right,left,mechanical_from_blind_item_scores
P0162,F06,1.0,0,A0143,A0114,2,1,3.0,1.0,5,5,left,left,tie,mechanical_from_blind_item_scores
P0163,F01,2.5,10,A0389,A0020,2,1,2.5,1.0,4,5,left,left,right,mechanical_from_blind_item_scores
P0164,F12,3.0,11,A0066,A0354,1,1,1.0,1.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0165,F05,1.0,11,A0133,A0052,1,1,1.0,1.0,5,4,tie,tie,left,mechanical_from_blind_item_scores
P0166,F09,0.0,14,A0157,A0398,3,3,5.0,5.0,1,1,tie,tie,tie,mechanical_from_blind_item_scores
P0167,F10,1.25,12,A0092,A0173,1,3,1.0,3.5,5,5,right,right,tie,mechanical_from_blind_item_scores
P0168,F08,1.25,14,A0233,A0294,4,4,4.0,3.5,3,5,tie,left,right,mechanical_from_blind_item_scores
P0169,F11,1.25,3,A0164,A0158,4,3,4.0,4.0,5,3,left,tie,left,mechanical_from_blind_item_scores
P0170,F11,3.0,2,A0292,A0403,1,1,1.0,2.0,5,2,tie,right,left,mechanical_from_blind_item_scores
P0171,F08,2.5,22,A0289,A0100,1,1,1.0,1.0,1,5,tie,tie,right,mechanical_from_blind_item_scores
P0172,F02,2.5,11,A0235,A0152,1,2,1.5,2.0,1,2,right,right,right,mechanical_from_blind_item_scores
P0173,F07,2.5,17,A0321,A0046,2,2,2.0,2.0,5,4,tie,tie,left,mechanical_from_blind_item_scores
P0174,F11,2.5,11,A0051,A0166,1,2,1.0,2.5,5,5,right,right,tie,mechanical_from_blind_item_scores
P0175,F10,2.0,13,A0210,A0106,1,1,1.0,1.5,5,4,tie,right,left,mechanical_from_blind_item_scores
P0176,F01,2.0,11,A0325,A0047,1,1,2.0,1.0,4,5,tie,left,right,mechanical_from_blind_item_scores
P0177,F09,2.5,9,A0039,A0277,1,1,1.0,2.0,3,2,tie,right,left,mechanical_from_blind_item_scores
P0178,F09,1.5,19,A0061,A0208,1,2,2.0,2.0,2,4,right,tie,right,mechanical_from_blind_item_scores
P0179,F06,2.5,0,A0160,A0096,1,1,1.0,1.0,2,1,tie,tie,left,mechanical_from_blind_item_scores
P0180,F11,2.0,29,A0446,A0009,1,1,1.0,2.0,5,1,tie,right,left,mechanical_from_blind_item_scores
